mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.24907498359680175,0.03249901269452601,0.011090850830078125,0.0007501669187995702,0.01,7,200,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.7891431450843811,0.8830639123916626,0.8785321712493896,0.7587262988090515,0.8648093342781067,0.8348549723625183,0.05101805462622729,26
0.2551457405090332,0.040812317895243345,0.010915279388427734,0.0011173819760607316,0.01,7,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1}",0.7984309196472168,0.8885311484336853,0.8815043568611145,0.762831449508667,0.8608389496803284,0.8384273648262024,0.04936142937534655,25
0.07210907936096192,0.008486290788495932,0.009537649154663087,0.0012816268405549348,0.05,3,100,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.8766947388648987,0.8883113861083984,0.8760470151901245,0.8445402979850769,0.9056385159492493,0.8782463908195496,0.019974875320759557,23
0.06382217407226562,0.008914669306547612,0.009158897399902343,0.00028599718865288836,0.05,3,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1}",0.8747758865356445,0.8921615481376648,0.8804253339767456,0.8386165499687195,0.9009412527084351,0.8773841142654419,0.021411619435221053,24
0.11231002807617188,0.017738063388729006,0.010871171951293945,0.001157755052421166,0.05,3,200,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.8953473567962646,0.9144554138183594,0.8989319801330566,0.8750625252723694,0.9319361448287964,0.9031466841697693,0.019099914292337317,12
0.09586062431335449,0.012899336726421292,0.010225296020507812,0.000977078677177129,0.05,3,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1}",0.8966060876846313,0.9140486121177673,0.900063693523407,0.8716516494750977,0.9287387728691101,0.9022217631340027,0.019046002659307684,16
0.08970742225646973,0.012957477704697216,0.009593725204467773,0.0005449435990312965,0.05,5,100,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.8957459330558777,0.919806957244873,0.9082038998603821,0.8655233979225159,0.9335165619850159,0.9045593500137329,0.023176601429676622,10
0.08914766311645508,0.018065846700592518,0.009501075744628907,0.0006747894896162259,0.05,5,100,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1}",0.8852713108062744,0.9178199768066406,0.9112005233764648,0.8579527139663696,0.9317654371261597,0.9008019924163818,0.026205872937536633,19
0.1895761489868164,0.045839977975542595,0.010852813720703125,0.001422906009623702,0.05,5,200,0.5,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.9011672735214233,0.9302409887313843,0.918675422668457,0.8748021125793457,0.9427791833877563,0.9135329961776734,0.023723125733485024,1
0.1716515064239502,0.02159495088446404,0.011952829360961915,0.0014609599953085287,0.05,5,200,1.0,"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1}",0.8912841081619263,0.926562488079071,0.9194687604904175,0.8639345169067383,0.9406266212463379,0.9083752989768982,0.02742655077985058,5
