number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
27,0.9110135078430176,2026-07-18 13:17:42.650073,2026-07-18 13:17:44.136007,0 days 00:00:01.485934,0.5216785479616793,0.0274124899631017,4,443,0.5360093987515411,COMPLETE
28,0.916732656955719,2026-07-18 13:17:44.137439,2026-07-18 13:17:45.010461,0 days 00:00:00.873022,0.6728287998259468,0.08345953515390767,3,325,0.8342885334272578,COMPLETE
29,0.9142753601074218,2026-07-18 13:17:45.011779,2026-07-18 13:17:45.773690,0 days 00:00:00.761911,0.556575757223256,0.08240387188379543,3,264,0.9116497436315674,COMPLETE
30,0.9161071300506591,2026-07-18 13:17:45.775036,2026-07-18 13:17:46.648057,0 days 00:00:00.873021,0.6706480226850573,0.09935308088483621,3,307,0.8222729264662906,COMPLETE
31,0.9179544568061828,2026-07-18 13:17:46.649229,2026-07-18 13:17:47.518271,0 days 00:00:00.869042,0.677400253217872,0.10166804147641012,3,307,0.8293948872008856,COMPLETE
32,0.9168124794960022,2026-07-18 13:17:47.519536,2026-07-18 13:17:48.314693,0 days 00:00:00.795157,0.6584176056288116,0.10244769330250483,3,291,0.829771852439209,COMPLETE
33,0.9180465698242187,2026-07-18 13:17:48.316089,2026-07-18 13:17:49.184243,0 days 00:00:00.868154,0.6181657969226431,0.1143449055022902,4,268,0.8408785710436646,COMPLETE
34,0.9161182522773743,2026-07-18 13:17:49.185564,2026-07-18 13:17:50.058318,0 days 00:00:00.872754,0.5781133640354488,0.10992694953727024,4,269,0.9116849390343834,COMPLETE
35,0.9122548222541809,2026-07-18 13:17:50.059643,2026-07-18 13:17:51.008251,0 days 00:00:00.948608,0.6084015635269279,0.09086926740965795,4,282,0.8187525294291718,COMPLETE
36,0.9124320268630981,2026-07-18 13:17:51.009420,2026-07-18 13:17:51.780364,0 days 00:00:00.770944,0.5518854961473385,0.13627649269832345,4,234,0.7811988898279607,COMPLETE
37,0.9095701694488525,2026-07-18 13:17:51.781712,2026-07-18 13:17:52.683707,0 days 00:00:00.901995,0.644685348183765,0.15514043420390133,3,324,0.8396055777138034,COMPLETE
38,0.9114090085029602,2026-07-18 13:17:52.685035,2026-07-18 13:17:53.328156,0 days 00:00:00.643121,0.6456153221645162,0.08105586597348369,3,195,0.8956664679881771,COMPLETE
39,0.9053325891494751,2026-07-18 13:17:53.329472,2026-07-18 13:17:54.298323,0 days 00:00:00.968851,0.6042738461058428,0.11353746202372803,5,240,0.9531016429611189,COMPLETE
40,0.8950083255767822,2026-07-18 13:17:54.299660,2026-07-18 13:17:56.901007,0 days 00:00:02.601347,0.5631138246632457,0.12384341116696856,8,326,0.8000793047294961,COMPLETE
41,0.9154700756072998,2026-07-18 13:17:56.902611,2026-07-18 13:17:57.742459,0 days 00:00:00.839848,0.7039849829490854,0.07420743648832079,3,293,0.842093597425153,COMPLETE
42,0.9115965366363525,2026-07-18 13:17:57.743786,2026-07-18 13:17:58.552992,0 days 00:00:00.809206,0.6548536106033342,0.09734749215183525,3,254,0.7631700029865047,COMPLETE
43,0.9085903286933898,2026-07-18 13:17:58.554325,2026-07-18 13:17:59.138093,0 days 00:00:00.583768,0.684929978113086,0.06598799291548825,4,127,0.8185337201231152,COMPLETE
44,0.9170018911361695,2026-07-18 13:17:59.139415,2026-07-18 13:18:00.158422,0 days 00:00:01.019007,0.7501676232559613,0.10827013509338272,3,340,0.8875465126435319,COMPLETE
45,0.914538049697876,2026-07-18 13:18:00.159723,2026-07-18 13:18:01.162319,0 days 00:00:01.002596,0.8088851336040126,0.10920656109331167,3,346,0.8909778240767329,COMPLETE
46,0.9138763666152954,2026-07-18 13:18:01.163766,2026-07-18 13:18:02.094341,0 days 00:00:00.930575,0.6235379590446816,0.13291623226715246,4,303,0.9550929679348481,COMPLETE
47,0.9088465929031372,2026-07-18 13:18:02.095721,2026-07-18 13:18:03.351512,0 days 00:00:01.255791,0.7633301624697988,0.09686339291338346,5,317,0.9314452813733257,COMPLETE
48,0.9171987891197204,2026-07-18 13:18:03.352885,2026-07-18 13:18:04.337011,0 days 00:00:00.984126,0.7416570025265068,0.10649925908463159,3,354,0.856337317371585,COMPLETE
49,0.9117798686027527,2026-07-18 13:18:04.338331,2026-07-18 13:18:05.266419,0 days 00:00:00.928088,0.7389242943248171,0.11710552279720997,4,285,0.8683835269852284,COMPLETE
